"filename", "language", "Markdown", "JSON", "JavaScript", "JavaScript JSX", "PostCSS", "Python", "pip requirements", "HTML", "Properties", "comment", "blank", "total"
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\T1_1Form.jsx", "JavaScript JSX", 0, 0, 0, 394, 0, 0, 0, 0, 0, 5, 9, 408
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\T1_2Form.jsx", "JavaScript JSX", 0, 0, 0, 378, 0, 0, 0, 0, 0, 13, 15, 406
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\T2_1Form.jsx", "JavaScript JSX", 0, 0, 0, 129, 0, 0, 0, 0, 0, 9, 13, 151
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\T2_2Form.jsx", "JavaScript JSX", 0, 0, 0, 110, 0, 0, 0, 0, 0, 12, 13, 135
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\T3_1Form.jsx", "JavaScript JSX", 0, 0, 0, 290, 0, 0, 0, 0, 0, 9, 11, 310
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\T3_2Form.jsx", "JavaScript JSX", 0, 0, 0, 101, 0, 0, 0, 0, 0, 9, 10, 120
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\T4_1Form.jsx", "JavaScript JSX", 0, 0, 0, 96, 0, 0, 0, 0, 0, 9, 10, 115
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\T4_2Form.jsx", "JavaScript JSX", 0, 0, 0, 96, 0, 0, 0, 0, 0, 9, 10, 115
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\T4_3Form.jsx", "JavaScript JSX", 0, 0, 0, 238, 0, 0, 0, 0, 0, 9, 11, 258
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\T5_1Form.jsx", "JavaScript JSX", 0, 0, 0, 347, 0, 0, 0, 0, 0, 9, 11, 367
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\T5_2Form.jsx", "JavaScript JSX", 0, 0, 0, 119, 0, 0, 0, 0, 0, 9, 10, 138
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\T5_3Form.jsx", "JavaScript JSX", 0, 0, 0, 106, 0, 0, 0, 0, 0, 9, 10, 125
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\T5_4Form.jsx", "JavaScript JSX", 0, 0, 0, 96, 0, 0, 0, 0, 0, 9, 10, 115
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\T5_5Form.jsx", "JavaScript JSX", 0, 0, 0, 90, 0, 0, 0, 0, 0, 9, 10, 109
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\T5_6Form.jsx", "JavaScript JSX", 0, 0, 0, 330, 0, 0, 0, 0, 0, 9, 11, 350
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\T6_1Form.jsx", "JavaScript JSX", 0, 0, 0, 97, 0, 0, 0, 0, 0, 9, 10, 116
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\T6_2Form.jsx", "JavaScript JSX", 0, 0, 0, 95, 0, 0, 0, 0, 0, 9, 10, 114
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\T6_3Form.jsx", "JavaScript JSX", 0, 0, 0, 92, 0, 0, 0, 0, 0, 9, 10, 111
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\src\components\T6_4Form.jsx", "JavaScript JSX", 0, 0, 0, 92, 0, 0, 0, 0, 0, 9, 10, 111
